<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NYMEX.XRB,D,20200814,000000,1.2521000,1.2524000,1.2257000,1.2488000,19173
NYMEX.XRB,D,20200816,000000,1.2525000,1.2846000,1.2525000,1.2791000,1457
NYMEX.XRB,D,20200817,000000,1.2797000,1.2915000,1.2474000,1.2695000,19868
NYMEX.XRB,D,20200818,000000,1.2695000,1.2844000,1.2525000,1.2632000,12424
NYMEX.XRB,D,20200819,000000,1.2636000,1.2916000,1.2500000,1.2783000,8670
NYMEX.XRB,D,20200820,000000,1.2785000,1.3031000,1.2459000,1.3017000,6199
NYMEX.XRB,D,20200821,000000,1.3059000,1.3113000,1.2552000,1.2750000,8153
NYMEX.XRB,D,20200823,000000,1.2943000,1.3297000,1.2943000,1.3107000,406
NYMEX.XRB,D,20200824,000000,1.3097000,1.3803000,1.3024000,1.3779000,7195
NYMEX.XRB,D,20200825,000000,1.3765000,1.4395000,1.3631000,1.3996000,6811
NYMEX.XRB,D,20200826,000000,1.3969000,1.3970000,1.3264000,1.3626000,4408
NYMEX.XRB,D,20200827,000000,1.3620000,1.3743000,1.2690000,1.2763000,2331
NYMEX.XRB,D,20200828,000000,1.2767000,1.3188000,1.2690000,1.3125000,1805
NYMEX.XRB,D,20200831,000000,1.3241000,1.3245000,1.2197000,1.2231000,632
NYMEX.XRB,D,20200901,000000,1.2234000,1.2444000,1.2194000,1.2391000,19319
NYMEX.XRB,D,20200902,000000,1.2387000,1.2470000,1.1924000,1.2052000,30817
NYMEX.XRB,D,20200903,000000,1.2068000,1.2126000,1.1748000,1.1990000,26738
NYMEX.XRB,D,20200904,000000,1.1998000,1.2104000,1.1557000,1.1660000,35159
NYMEX.XRB,D,20200906,000000,1.1635000,1.1685000,1.1500000,1.1547000,275
NYMEX.XRB,D,20200907,000000,1.1554000,1.1735000,1.1547000,1.1644000,5121
NYMEX.XRB,D,20200908,000000,1.1637000,1.1668000,1.0851000,1.0992000,40760
NYMEX.XRB,D,20200909,000000,1.0997000,1.1292000,1.0933000,1.1200000,26044
NYMEX.XRB,D,20200910,000000,1.1194000,1.1314000,1.0882000,1.0933000,25079
NYMEX.XRB,D,20200911,000000,1.0935000,1.1154000,1.0755000,1.1005000,25782
NYMEX.XRB,D,20200913,000000,1.1076000,1.1177000,1.1007000,1.1115000,1368
NYMEX.XRB,D,20200914,000000,1.1118000,1.1204000,1.0927000,1.1124000,24895
NYMEX.XRB,D,20200915,000000,1.1121000,1.1410000,1.1004000,1.1341000,22715
NYMEX.XRB,D,20200916,000000,1.1330000,1.1990000,1.1312000,1.1952000,25415
NYMEX.XRB,D,20200917,000000,1.1947000,1.2315000,1.1732000,1.2215000,20156
NYMEX.XRB,D,20200918,000000,1.2215000,1.2382000,1.2114000,1.2360000,11407
NYMEX.XRB,D,20200920,000000,1.2320000,1.2360000,1.2139000,1.2167000,245
NYMEX.XRB,D,20200921,000000,1.2158000,1.2256000,1.1610000,1.1874000,8389
NYMEX.XRB,D,20200922,000000,1.1860000,1.1876000,1.1521000,1.1726000,3785
NYMEX.XRB,D,20200923,000000,1.1741000,1.2000000,1.1626000,1.1655000,5404
NYMEX.XRB,D,20200924,000000,1.1678000,1.1984000,1.1673000,1.1960000,2302
NYMEX.XRB,D,20200925,000000,1.1960000,1.2165000,1.1850000,1.2148000,4381
NYMEX.XRB,D,20200927,000000,1.2099000,1.2176000,1.2099000,1.2135000,41
NYMEX.XRB,D,20200928,000000,1.2127000,1.2526000,1.2042000,1.2503000,2693
NYMEX.XRB,D,20200929,000000,1.2496000,1.2518000,1.1856000,1.1900000,2444
NYMEX.XRB,D,20200930,000000,1.1900000,1.2069000,1.1741000,1.1767000,754
NYMEX.XRB,D,20201001,000000,1.1765000,1.1888000,1.1230000,1.1469000,26637
NYMEX.XRB,D,20201002,000000,1.1469000,1.1486000,1.0958000,1.1190000,26112
NYMEX.XRB,D,20201004,000000,1.1274000,1.1436000,1.1224000,1.1430000,1054
NYMEX.XRB,D,20201005,000000,1.1449000,1.2147000,1.1435000,1.1995000,36527
NYMEX.XRB,D,20201006,000000,1.1998000,1.2433000,1.1952000,1.2147000,30285
NYMEX.XRB,D,20201007,000000,1.2139000,1.2236000,1.1801000,1.2095000,26794
NYMEX.XRB,D,20201008,000000,1.2084000,1.2376000,1.2038000,1.2299000,20797
NYMEX.XRB,D,20201009,000000,1.2305000,1.2323000,1.1977000,1.2056000,24417
NYMEX.XRB,D,20201011,000000,1.2082000,1.2082000,1.1997000,1.2013000,481
NYMEX.XRB,D,20201012,000000,1.2002000,1.2016000,1.1678000,1.1791000,22932
NYMEX.XRB,D,20201013,000000,1.1795000,1.1998000,1.1745000,1.1801000,18696
NYMEX.XRB,D,20201014,000000,1.1816000,1.2042000,1.1651000,1.2007000,18180
NYMEX.XRB,D,20201015,000000,1.1998000,1.2017000,1.1384000,1.1810000,23282
NYMEX.XRB,D,20201016,000000,1.1804000,1.1828000,1.1422000,1.1650000,14886
NYMEX.XRB,D,20201018,000000,1.1650000,1.1708000,1.1640000,1.1683000,243
NYMEX.XRB,D,20201019,000000,1.1683000,1.1758000,1.1554000,1.1584000,11446
NYMEX.XRB,D,20201020,000000,1.1577000,1.1925000,1.1521000,1.1838000,6225
NYMEX.XRB,D,20201021,000000,1.1835000,1.1852000,1.1308000,1.1339000,7654
NYMEX.XRB,D,20201022,000000,1.1361000,1.1702000,1.1331000,1.1575000,4402
NYMEX.XRB,D,20201023,000000,1.1575000,1.1627000,1.1310000,1.1385000,4199
NYMEX.XRB,D,20201025,000000,1.1335000,1.1335000,1.1226000,1.1264000,100
NYMEX.XRB,D,20201026,000000,1.1308000,1.1330000,1.1067000,1.1150000,3651
NYMEX.XRB,D,20201027,000000,1.1136000,1.1471000,1.1123000,1.1228000,3285
NYMEX.XRB,D,20201028,000000,1.1209000,1.1212000,1.0691000,1.1025000,3233
NYMEX.XRB,D,20201029,000000,1.0992000,1.1049000,1.0215000,1.0450000,1586
NYMEX.XRB,D,20201030,000000,1.0532000,1.0581000,1.0294000,1.0495000,1038
NYMEX.XRB,D,20201101,000000,1.0215000,1.0217000,0.9702000,0.9778000,1816
NYMEX.XRB,D,20201102,000000,0.9776000,1.0625000,0.9752000,1.0579000,31117
NYMEX.XRB,D,20201103,000000,1.0574000,1.0965000,1.0411000,1.0903000,27567
NYMEX.XRB,D,20201104,000000,1.0891000,1.1125000,1.0610000,1.1051000,25832
NYMEX.XRB,D,20201105,000000,1.1044000,1.1185000,1.0861000,1.1120000,20852
NYMEX.XRB,D,20201106,000000,1.1114000,1.1127000,1.0757000,1.0894000,25625
NYMEX.XRB,D,20201108,000000,1.0905000,1.0998000,1.0839000,1.0984000,194
NYMEX.XRB,D,20201109,000000,1.0972000,1.1973000,1.0963000,1.1450000,32935
NYMEX.XRB,D,20201110,000000,1.1454000,1.2111000,1.1395000,1.1987000,28827
NYMEX.XRB,D,20201111,000000,1.1981000,1.2341000,1.1729000,1.1782000,24103
NYMEX.XRB,D,20201112,000000,1.1762000,1.1854000,1.1427000,1.1456000,23706
NYMEX.XRB,D,20201113,000000,1.1445000,1.1463000,1.1178000,1.1236000,25244
NYMEX.XRB,D,20201115,000000,1.1250000,1.1331000,1.1231000,1.1318000,175
NYMEX.XRB,D,20201116,000000,1.1313000,1.1746000,1.1301000,1.1507000,19169
NYMEX.XRB,D,20201117,000000,1.1505000,1.1598000,1.1244000,1.1532000,13142
NYMEX.XRB,D,20201118,000000,1.1528000,1.1785000,1.1482000,1.1540000,8373
NYMEX.XRB,D,20201119,000000,1.1531000,1.1701000,1.1423000,1.1617000,6136
NYMEX.XRB,D,20201120,000000,1.1605000,1.1840000,1.1589000,1.1798000,5158
NYMEX.XRB,D,20201122,000000,1.1785000,1.1820000,1.1773000,1.1805000,42
NYMEX.XRB,D,20201123,000000,1.1803000,1.2096000,1.1780000,1.2057000,5063
NYMEX.XRB,D,20201124,000000,1.2045000,1.2696000,1.2031000,1.2577000,4651
NYMEX.XRB,D,20201125,000000,1.2585000,1.2960000,1.2564000,1.2877000,5540
NYMEX.XRB,D,20201126,000000,1.2967000,1.2967000,1.2599000,1.2657000,377
NYMEX.XRB,D,20201127,000000,1.2690000,1.2842000,1.2610000,1.2801000,1789
NYMEX.XRB,D,20201129,000000,1.2680000,1.2680000,1.2643000,1.2679000,9
NYMEX.XRB,D,20201130,000000,1.2694000,1.2820000,1.2350000,1.2381000,1370
NYMEX.XRB,D,20201201,000000,1.2381000,1.2541000,1.2057000,1.2082000,31084
NYMEX.XRB,D,20201202,000000,1.2079000,1.2553000,1.2037000,1.2346000,31363
NYMEX.XRB,D,20201203,000000,1.2345000,1.2674000,1.2239000,1.2652000,24846
NYMEX.XRB,D,20201204,000000,1.2653000,1.2880000,1.2588000,1.2619000,22861
NYMEX.XRB,D,20201206,000000,1.2645000,1.2676000,1.2614000,1.2623000,200
NYMEX.XRB,D,20201207,000000,1.2610000,1.2740000,1.2438000,1.2504000,24249
NYMEX.XRB,D,20201208,000000,1.2506000,1.2686000,1.2384000,1.2559000,24213
NYMEX.XRB,D,20201209,000000,1.2558000,1.2865000,1.2495000,1.2841000,32111
NYMEX.XRB,D,20201210,000000,1.2840000,1.3355000,1.2789000,1.3204000,31414
NYMEX.XRB,D,20201211,000000,1.3204000,1.3265000,1.2981000,1.3079000,23059
NYMEX.XRB,D,20201213,000000,1.3113000,1.3131000,1.3076000,1.3109000,206
NYMEX.XRB,D,20201214,000000,1.3106000,1.3285000,1.2862000,1.3211000,23557
NYMEX.XRB,D,20201215,000000,1.3221000,1.3346000,1.3090000,1.3263000,19529
NYMEX.XRB,D,20201216,000000,1.3258000,1.3597000,1.3213000,1.3549000,22796
